unique_ID,label_lon,label_lat,end,layer
C321r3t,-63.6,57.8,NW,TBC
C322r2t,-63.6,57.3,SE,TBC
C320r2t,-63.6,56.8,SE,TBC
C333r1t,-63.6,56.3,SE,TBC
C320r1t,-63.6,55.8,SE,TBC
C320r4t,-63.6,55.3,SE,TBC
C326r2t,-63.6,54.8,SW,TBC
C325r1t,-63.6,54.3,NW,TBC
C330r2t,-63.6,53.8,SW,TBC
C333r3t,-63.6,53.3,SE,TBC
C325r4t,-63.6,52.8,MM,TBC
C324r5t,-63.6,52.3,SW,TBC
C327r1t,-49.2,59.3,MM,TBC
C324r1t,-49.2,58.5,NE,TBC
C326r1t,-49.2,58,NE,TBC
C327r2t,-49.2,57.0,SE,TBC
C329r1t,-49.2,56.6,NE,TBC
C323r3t,-49.2,56.2,SE,TBC
C331r3t,-49.2,55.8,SW,TBC
C328r2t,-49.2,55.4,NE,TBC
C332r2t,-49.2,55,NE,TBC
C324r2t,-49.2,54.6,MM,TBC
C331r4t,-49.2,54.2,SE,TBC
C329r2t,-49.2,52.6,MM,TBC
C329r3t,-49.2,52.2,NE,TBC
C323r4t,-49.2,51.8,SE,TBC
C325r2t,-49.2,51.4,SE,TBC
C320r3t,-63,60.8,NW,TBC
C333r2t,-62,60.8,MM,TBC
C330r1t,-61,60.8,MM,TBC
C319r5t,-60,60.8,NW,TBC
C319r1t,-59,60.8,MM,TBC
C322r1t,-58,60.8,MM,TBC
C321r1t,-57,60.8,NE,TBC
C328r1t,-55.5,60.8,SW,TBC
C332r1t,-54.5,60.8,NE,TBC
C327r4t,-53.5,60.8,NE,TBC
